Name,ISIN,Symbol,Market,Currency
"Nestlé SA",CH0038863350,NESN.SW,"SIX Swiss Exchange",CHF
"Airbus SE",NL0000235190,AIR.PA,"Euronext Paris",EUR
"BP plc",GB0007980591,BP.L,"London Stock Exchange",GBP
"4AIM SICAF",IT0005204729,AIM,"Euronext Growth Milan",EUR
